Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Justice,17-02-2025,5 out of 5,Awesome Battery life is superb
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Kelvin,17-02-2025,3 out of 5,"Mixed feelings The size is less than 12"" and it was stated 14"". I am still getting to know it."
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Peter ,10-02-2025,3 out of 5,Not good enough Started having screen issue after few days of purchase.
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Buks,04-02-2025,5 out of 5,Fast It's a little bit fast and good for the price
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Daniel,20-01-2025,5 out of 5,I love it Very sleek and fast
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Idris,03-01-2025,5 out of 5,Good Product ???? Impressive design
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Umar,02-12-2024,4 out of 5,Good PC Battery last only 2hours I was expecting at least fours
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Abayomi,22-11-2024,4 out of 5,"Superb Product I have to install a new window 11 to access the Microsoft store. The laptop is sleek, fast, and smart. Good for graphics, school, and business.
 I strongly recommend that anyone buy it!"
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,MUTIU-RAHMON,18-11-2024,5 out of 5,Perfect The laptop is so sleek and working perfectly well
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Abba,22-10-2024,5 out of 5,GOOD PRODUCT It's user friendly and has a very good battery ????
